EVENT_ID,YEAR,MONTH_NAME,TOR_F_SCALE,STATE,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY
220858,2010,March,EF1,NORTH CAROLINA,35.691,-80.431,35.718,-80.376,0,0,0,0,500.00K
220421,2010,May,EF1,KANSAS,38.4878,-101.2062,38.4944,-101.1921,0,0,0,0,5.00K
219210,2010,March,EF0,FLORIDA,28.7309,-82.5822,28.7314,-82.5575,0,0,0,0,0.00K
220426,2010,May,EF0,KANSAS,38.8162,-101.2421,38.8305,-101.218,0,0,0,0,0.00K
220420,2010,May,EF0,KANSAS,38.555,-101.1992,38.5671,-101.1798,0,0,0,0,0.00K
218389,2010,April,EF1,NEBRASKA,40.1,-96.9962,40.1369,-96.9705,0,0,0,0,650.00K
228117,2010,April,EF3,ALABAMA,33.7336,-87.2864,33.801,-86.9564,0,0,0,1,598.00K
226817,2010,April,EF0,SOUTH CAROLINA,34.517,-82.987,34.519,-82.975,0,0,0,0,5.00K
227645,2010,May,EF1,OHIO,38.71,-83.65,38.75,-83.67,0,0,0,0,135.00K
227646,2010,May,EF1,OHIO,39.03,-83.88,39.0361,-83.8714,0,0,0,0,10.00K
225222,2010,April,EF1,TEXAS,32.3699,-96.1034,32.3719,-96.1021,0,0,0,0,50.00K
237572,2010,May,EF1,OKLAHOMA,36.589,-96.904,36.6551,-96.72,0,0,0,0,50.00K
237573,2010,May,EF0,OKLAHOMA,36.7,-96.6117,36.7,-96.6117,0,0,0,0,0.00K
220943,2010,April,EF0,NORTH CAROLINA,35.8303,-78.3232,35.845,-78.2565,0,0,0,0,250.00K
225581,2010,April,EF2,MISSISSIPPI,32.2239,-88.9676,32.2508,-88.9143,0,0,0,0,200.00K
237575,2010,May,EF0,OKLAHOMA,36.7419,-96.5674,36.7554,-96.5532,0,0,0,0,0.00K
237577,2010,May,EF0,OKLAHOMA,36.6854,-96.3491,36.7062,-96.33,0,0,0,0,0.00K
237587,2010,May,EF1,OKLAHOMA,35.342,-96.441,35.3975,-96.3807,0,0,0,0,15.00K
237499,2010,May,EF1,OKLAHOMA,35.9403,-96.0619,35.952,-96.0295,0,0,0,0,25.00K
223390,2010,April,EF1,MISSISSIPPI,33.3366,-90.4158,33.3349,-90.3813,0,0,0,0,50.00K
225582,2010,April,EF2,MISSISSIPPI,32.2508,-88.9143,32.3058,-88.7646,0,0,0,0,650.00K
225846,2010,April,EF2,MISSISSIPPI,33.6349,-88.6019,33.6448,-88.5716,0,0,0,0,80.00K
222737,2010,April,EF0,COLORADO,38.4581,-102.7941,38.4685,-102.7916,0,0,0,0,0.00K
222738,2010,April,EF0,COLORADO,38.4442,-102.7712,38.4636,-102.7673,0,0,0,0,0.00K
222739,2010,April,EF0,COLORADO,38.581,-102.829,38.5983,-102.8314,0,0,0,0,0.00K
237503,2010,May,EF1,OKLAHOMA,35.952,-96.0295,36.0241,-95.8316,0,0,0,0,100.00K
237519,2010,May,EF2,OKLAHOMA,35.5942,-95.9394,35.6258,-95.841,0,0,0,0,200.00K
237527,2010,May,EF2,OKLAHOMA,35.9991,-95.7132,36.022,-95.6255,2,0,0,0,400.00K
237531,2010,May,EF0,OKLAHOMA,36.1647,-95.6895,36.1761,-95.6379,0,0,0,0,10.00K
226520,2010,May,EF0,NEBRASKA,41.23,-103.67,41.23,-103.67,0,0,0,0,
226356,2010,April,EF1,MISSOURI,36.5821,-92.3718,36.616,-92.3196,0,0,0,0,80.00K
226357,2010,April,EF0,MISSOURI,36.5855,-92.3592,36.5905,-92.3458,0,0,0,0,0.00K
224695,2010,May,EF0,NEBRASKA,41.2743,-103.8123,41.2743,-103.8123,0,0,0,0,
224412,2010,April,EF0,COLORADO,38.4856,-102.7607,38.5027,-102.7597,0,0,0,0,0.00K
222730,2010,April,EF0,COLORADO,38.172,-102.9727,38.1803,-102.9702,0,0,0,0,0.00K
222732,2010,April,EF0,COLORADO,38.2025,-102.961,38.2296,-102.9529,0,0,0,0,0.00K
222733,2010,April,EF0,COLORADO,38.2514,-102.9428,38.2592,-102.9388,0,0,0,0,0.00K
237228,2010,May,EF0,OKLAHOMA,35.7889,-96.467,35.7889,-96.467,0,0,0,0,0.00K
237235,2010,May,EF1,OKLAHOMA,35.8545,-96.3242,35.9012,-96.2552,0,0,0,0,15.00K
229846,2010,May,EF1,MISSISSIPPI,34.5975,-88.9637,34.6666,-88.8505,0,0,0,0,125.00K
222734,2010,April,EF0,COLORADO,38.2938,-102.9101,38.341,-102.8957,0,0,0,0,0.00K
222735,2010,April,EF0,COLORADO,38.4238,-102.8228,38.4595,-102.8098,0,0,0,0,0.00K
237244,2010,May,EF1,OKLAHOMA,35.5775,-96.5336,35.6014,-96.3942,0,0,0,0,0.00K
229851,2010,May,EF1,ARKANSAS,35.2041,-91.0417,35.2578,-90.9511,0,0,0,0,100.00K
237801,2010,May,EF2,MISSISSIPPI,34.4891,-89.5129,34.5031,-89.4945,0,0,1,0,250.00K
237799,2010,May,EF0,TENNESSEE,35.4984,-88.2825,35.5198,-88.243,0,0,0,0,100.00K
222946,2010,April,EF1,TENNESSEE,35.684,-88.1386,35.789,-87.973,0,0,0,0,1.00M
226358,2010,April,EF1,MISSOURI,36.6379,-92.2898,36.7634,-92.166,0,0,0,0,875.00K
226147,2010,May,EF2,WYOMING,41.18,-104.37,41.18,-104.37,0,0,0,0,50.00K
225719,2010,May,EF0,WYOMING,41.03,-104.7154,41.03,-104.7154,0,0,0,0,
235503,2010,May,EF0,TEXAS,31.9102,-102.5708,31.9284,-102.5671,0,0,0,0,0.00K
226360,2010,April,EF1,MISSOURI,36.4978,-92.5886,36.5909,-92.3761,0,0,0,0,0.00K
235492,2010,May,EF3,TEXAS,31.8344,-102.7299,31.8964,-102.7314,0,0,0,0,100.00K
232659,2010,May,EF1,OKLAHOMA,35.5205,-96.7803,35.5127,-96.7573,0,0,0,0,
232688,2010,May,EF1,OKLAHOMA,34.59,-97.1734,34.6258,-96.97,0,0,0,0,
224602,2010,May,EF0,NEBRASKA,41.94,-103.51,41.94,-103.51,0,0,0,0,
232928,2010,May,EF0,OKLAHOMA,35.896,-99.757,35.896,-99.757,0,0,0,0,0.00K
232929,2010,May,EF1,OKLAHOMA,36.435,-99.621,36.435,-99.621,0,0,0,0,
222943,2010,April,EF0,MISSISSIPPI,34.4849,-88.9644,34.4854,-88.9636,0,0,0,0,25.00K
227727,2010,June,EF0,FLORIDA,27.65,-80.5623,27.65,-80.5623,0,0,0,0,0.00K
226821,2010,April,EF1,SOUTH CAROLINA,34.623,-82.718,34.648,-82.699,0,0,0,0,100.00K
228203,2010,June,EF0,FLORIDA,29.7495,-81.5563,29.7989,-81.5625,0,0,0,0,0.00K
219955,2010,April,EF2,ARKANSAS,34.4957,-92.4011,34.5817,-92.3061,8,0,0,0,3.00M
226481,2010,April,EF1,MISSISSIPPI,32.577,-88.8151,32.6047,-88.7676,0,0,0,0,300.00K
227648,2010,May,EF1,OHIO,39.037,-83.8711,39.06,-83.81,0,0,0,0,100.00K
225310,2010,April,EF2,TEXAS,34.153,-100.6636,34.18,-100.5208,0,0,0,0,100.00K
225315,2010,April,EF2,TEXAS,34.1814,-100.5201,34.1905,-100.5002,0,0,0,0,0.00K
225573,2010,April,EF3,TEXAS,34.1688,-100.5119,34.2615,-100.3287,0,0,0,0,300.00K
228123,2010,April,EF1,ALABAMA,33.801,-86.9564,33.844,-86.8488,0,0,0,0,50.00K
224605,2010,May,EF0,NEBRASKA,41.82,-103.67,41.82,-103.67,0,0,0,0,
225576,2010,April,EF2,MISSISSIPPI,32.1575,-89.1141,32.2239,-88.9676,0,0,0,0,400.00K
225843,2010,April,EF2,MISSISSIPPI,33.5302,-88.8531,33.5638,-88.7388,0,0,0,0,650.00K
225563,2010,April,EF1,MISSISSIPPI,31.9379,-89.6386,32.0333,-89.495,0,0,0,0,40.00K
222726,2010,April,EF0,COLORADO,37.9883,-103.1502,38.0477,-103.1084,0,0,0,0,0.00K
222727,2010,April,EF1,COLORADO,38.3555,-102.8824,38.4583,-102.8589,0,0,0,0,1.00K
222729,2010,April,EF0,COLORADO,38.0102,-103.1535,38.0416,-103.1326,0,0,0,0,0.00K
231884,2010,May,EF0,OKLAHOMA,34.188,-97.205,34.194,-97.198,0,0,0,0,0.00K
231894,2010,May,EF1,OKLAHOMA,34.665,-97.781,34.681,-97.743,0,0,0,0,0.00K
237249,2010,May,EF1,OKLAHOMA,35.3603,-96.333,35.4192,-96.1709,0,0,0,0,15.00K
237612,2010,May,EF2,OKLAHOMA,35.4028,-95.8673,35.424,-95.8459,0,0,0,0,40.00K
235469,2010,May,EF0,TEXAS,31.7548,-102.802,31.7931,-102.7788,0,0,0,0,
237616,2010,May,EF1,OKLAHOMA,35.4898,-96.4835,35.5715,-96.2296,0,0,0,0,40.00K
237626,2010,May,EF2,OKLAHOMA,35.441,-95.814,35.5279,-95.6248,0,0,0,0,125.00K
237636,2010,May,EF1,OKLAHOMA,35.4239,-95.7757,35.4354,-95.7349,0,0,0,0,3.00K
237554,2010,May,EF1,OKLAHOMA,36.6701,-94.7875,36.6949,-94.6873,0,0,0,0,25.00K
237641,2010,May,EF1,OKLAHOMA,35.4362,-95.7177,35.4417,-95.7077,0,0,0,0,2.00K
237643,2010,May,EF0,OKLAHOMA,35.4519,-95.7008,35.4519,-95.7008,0,0,0,0,0.00K
237651,2010,May,EF1,OKLAHOMA,35.5864,-95.1276,35.6163,-94.9739,0,0,0,0,150.00K
237653,2010,May,EF1,OKLAHOMA,35.5535,-94.8769,35.5758,-94.8115,0,0,0,0,5.00K
237654,2010,May,EF1,OKLAHOMA,35.5293,-95.3438,35.5357,-95.3145,0,0,0,0,10.00K
237600,2010,May,EF0,TENNESSEE,35.7736,-88.9905,35.7739,-88.9903,0,0,0,0,5.00K
237645,2010,May,EF1,OKLAHOMA,35.4634,-95.6807,35.493,-95.5733,0,0,0,0,200.00K
237646,2010,May,EF2,OKLAHOMA,35.497,-95.7354,35.5089,-95.7175,0,0,0,0,200.00K
237647,2010,May,EF1,OKLAHOMA,35.5026,-95.4784,35.5448,-95.3733,0,0,0,0,30.00K
223231,2010,June,EF1,NEBRASKA,41.0035,-96.0641,41.0025,-96.0536,0,0,0,0,4.00K
237371,2010,May,EF0,COLORADO,40.1,-104.5011,40.1,-104.5011,0,0,0,0,0.00K
232421,2010,May,EF0,OKLAHOMA,35.9235,-99.3774,35.9558,-99.313,0,0,0,0,0.00K
232422,2010,May,EF0,OKLAHOMA,36.1202,-97.9127,36.1202,-97.9127,0,0,0,0,0.00K
232562,2010,May,EF0,OKLAHOMA,36.11,-97.7209,36.11,-97.7209,0,0,0,0,0.00K
232563,2010,May,EF0,OKLAHOMA,36.1065,-97.5926,36.1191,-97.5693,0,0,0,0,0.00K
232663,2010,May,EF0,OKLAHOMA,36.1295,-97.3547,36.1295,-97.3547,0,0,0,0,0.00K
232680,2010,May,EF0,OKLAHOMA,34.5778,-97.2676,34.59,-97.1734,0,0,0,0,
232671,2010,May,EF1,OKLAHOMA,35.97,-98.1379,35.9269,-97.8958,1,0,0,0,
238251,2010,June,EF1,INDIANA,40.6754,-86.7451,40.6563,-86.576,2,0,0,0,400.00K
237547,2010,May,EF2,OKLAHOMA,36.2224,-95.7481,36.2552,-95.6443,0,0,0,0,750.00K
237369,2010,May,EF0,COLORADO,39.8502,-104.8206,39.8502,-104.8206,0,0,0,0,0.00K
234244,2010,June,EF1,MONTANA,45.21,-106.2,45.21,-106.19,0,0,0,0,107.00K
231968,2010,May,EF2,OKLAHOMA,35.118,-97.274,35.248,-97.142,3,0,0,0,0.00K
231972,2010,May,EF1,OKLAHOMA,35.248,-97.142,35.271,-97.052,0,0,0,0,0.00K
231985,2010,May,EF3,OKLAHOMA,35.246,-96.984,35.283,-96.777,2,0,0,0,0.00K
237737,2010,May,EF1,OKLAHOMA,36.12,-97.3288,36.1477,-97.1428,0,0,0,0,
231990,2010,May,EF1,OKLAHOMA,33.956,-97.037,33.946,-97.004,0,0,0,0,0.00K
231992,2010,May,EF0,OKLAHOMA,33.951,-96.888,33.949,-96.876,0,0,0,0,0.00K
231995,2010,May,EF0,OKLAHOMA,33.919,-96.871,33.92,-96.86,0,0,0,0,0.00K
231997,2010,May,EF3,OKLAHOMA,35.34,-97.108,35.365,-96.997,3,0,0,0,0.00K
231998,2010,May,EF0,OKLAHOMA,35.02,-97.213,35.022,-97.179,0,0,0,0,0.00K
231999,2010,May,EF0,OKLAHOMA,34.362,-96.879,34.356,-96.818,0,0,0,0,0.00K
237447,2010,May,EF1,OKLAHOMA,35.7347,-96.5499,35.8257,-96.211,0,0,0,0,75.00K
231988,2010,May,EF3,OKLAHOMA,35.283,-96.777,35.342,-96.441,26,0,0,0,0.00K
232000,2010,May,EF2,OKLAHOMA,34.254,-96.432,34.241,-96.408,0,0,0,0,2.63M
232001,2010,May,EF1,OKLAHOMA,34.24,-96.404,34.24,-96.404,0,0,0,0,0.00K
237648,2010,May,EF1,OKLAHOMA,35.5722,-95.1987,35.5864,-95.1276,3,0,0,0,0.00K
237488,2010,May,EF1,OKLAHOMA,35.9972,-96.1317,36.046,-96.0297,0,0,0,0,250.00K
237492,2010,May,EF2,OKLAHOMA,36.046,-96.0297,36.1479,-95.7691,0,0,0,0,500.00K
238305,2010,June,EF0,INDIANA,40.1797,-85.4339,40.1797,-85.4339,0,0,0,0,3.00K
237800,2010,May,EF0,TENNESSEE,35.5198,-88.243,35.5445,-88.1985,0,0,0,0,10.00K
237666,2010,May,EF3,MISSISSIPPI,34.8008,-89.1893,34.9088,-89.0181,7,0,2,0,1.00M
231566,2010,May,EF0,OKLAHOMA,36.188,-99.561,36.188,-99.561,0,0,0,0,0.00K
233027,2010,May,EF0,OKLAHOMA,36.379,-99.53,36.379,-99.53,0,0,0,0,
237391,2010,May,EF1,ARKANSAS,36.1205,-94.3553,36.1205,-94.3553,0,0,0,0,0.00K
490201,2014,February,EF1,ALABAMA,34.8798,-87.0707,34.8865,-87.0233,0,0,0,0,
548126,2014,October,EF1,ILLINOIS,38.4703,-89.9263,38.4895,-89.9195,0,0,0,0,0.00K
